Wall time,Step,Value
1619438556.2579315,0,38.099998474121094
1619438620.1201801,1,50.91999816894531
1619438684.4979541,2,56.7400016784668
1619438749.6099057,3,65.62000274658203
1619438815.534292,4,70.45999908447266
1619438881.2086837,5,69.69999694824219
1619438947.8047593,6,70.98999786376953
1619439015.0569613,7,73.86000061035156
1619439082.949654,8,74.36000061035156
1619439150.920407,9,77.16000366210938
1619439219.109919,10,78.30000305175781
1619439287.2994792,11,77.5
1619439354.707901,12,79.13999938964844
1619439423.022387,13,77.18000030517578
1619439490.2433403,14,81.04000091552734
1619439558.2335577,15,77.56999969482422
1619439625.8391304,16,79.48999786376953
1619439693.3063755,17,82.48999786376953
1619439759.2582805,18,83.48999786376953
1619439825.2418373,19,81.81999969482422
1619439889.6935623,20,82.7699966430664
1619439953.7244763,21,84.33000183105469
1619440018.1065402,22,83.44999694824219
1619440083.9371169,23,82.5199966430664
1619440149.9673264,24,81.97000122070312
1619440217.1691344,25,83.23999786376953
1619440285.3078856,26,82.93000030517578
1619440354.9622238,27,84.25
1619440424.4913805,28,80.11000061035156
1619440492.9741468,29,85.18000030517578
1619440561.1562855,30,83.55999755859375
1619440628.295447,31,84.55999755859375
1619440694.247406,32,84.80999755859375
1619440759.5432544,33,84.43000030517578
1619440823.6518803,34,84.26000213623047
1619440887.8387387,35,82.5199966430664
1619440952.6345935,36,85.26000213623047
1619441017.9616086,37,85.43000030517578
1619441084.5538898,38,83.94000244140625
1619441151.880822,39,84.81999969482422
1619441219.8790386,40,83.5999984741211
1619441288.3580554,41,86.08000183105469
1619441357.4813962,42,85.73999786376953
1619441426.9798179,43,82.29000091552734
1619441495.8994849,44,85.6500015258789
1619441565.0231667,45,85.5199966430664
1619441632.3337805,46,86.56999969482422
1619441699.4102516,47,83.79000091552734
1619441765.1085784,48,86.44000244140625
1619441830.951421,49,84.38999938964844
1619441895.4815323,50,85.9800033569336
1619441960.1837673,51,84.04000091552734
1619442024.4641402,52,86.0999984741211
1619442089.338269,53,85.77999877929688
1619442154.2434285,54,83.91000366210938
1619442220.523497,55,87.30000305175781
1619442288.2406988,56,87.2300033569336
1619442355.9580257,57,85.6500015258789
1619442422.921783,58,85.44000244140625
1619442490.2328498,59,83.9000015258789
1619442557.481602,60,85.54000091552734
1619442625.026681,61,83.55999755859375
1619442692.6818538,62,85.70999908447266
1619442760.0705347,63,85.81999969482422
1619442827.4596224,64,86.86000061035156
1619442895.5519767,65,85.52999877929688
1619442962.06276,66,84.8499984741211
1619443029.8421865,67,86.94000244140625
1619443095.9971778,68,86.55999755859375
1619443162.4646432,69,87.80000305175781
1619443228.745153,70,86.73999786376953
1619443294.1967084,71,86.08000183105469
1619443360.5548437,72,85.91999816894531
1619443426.6165836,73,87.44999694824219
1619443492.4220145,74,85.69999694824219
1619443558.4521146,75,84.2300033569336
1619443624.0483444,76,87.5999984741211
1619443690.0507927,77,87.77999877929688
1619443756.1782153,78,87.7300033569336
1619443823.211707,79,87.2699966430664
1619443890.8232064,80,86.58999633789062
1619443958.7315748,81,87.56999969482422
1619444024.7808876,82,86.51000213623047
1619444090.4553006,83,86.8499984741211
1619444155.3173258,84,88.33999633789062
1619444220.241814,85,87.06999969482422
1619444284.6508715,86,87.9000015258789
1619444349.3567097,87,86.88999938964844
1619444414.2812486,88,88.33999633789062
1619444478.846485,89,87.91000366210938
1619444544.7864542,90,88.37000274658203
1619444611.5543644,91,88.45999908447266
1619444679.1502419,92,88.58999633789062
1619444746.9180534,93,88.43000030517578
1619444814.5450854,94,88.79000091552734
1619444882.0159898,95,87.1500015258789
1619444950.049288,96,87.62000274658203
1619445018.0669503,97,88.4000015258789
1619445085.6628318,98,87.4000015258789
1619445151.899612,99,87.86000061035156
1619445217.9801683,100,88.61000061035156
1619445282.9984338,101,88.30999755859375
1619445346.8450148,102,89.33999633789062
1619445410.8635287,103,89.63999938964844
1619445475.7255807,104,87.87000274658203
1619445541.446834,105,89.11000061035156
1619445608.3084867,106,89.63999938964844
1619445675.5294435,107,88.80999755859375
1619445744.0782557,108,89.44000244140625
1619445813.5644102,109,89.9000015258789
1619445883.6128964,110,89.20999908447266
1619445952.1304657,111,88.47000122070312
1619446019.8512738,112,89.94000244140625
1619446087.6346679,113,89.08000183105469
1619446154.2151198,114,90.05999755859375
1619446220.4987118,115,89.36000061035156
1619446285.438921,116,89.86000061035156
1619446349.6448064,117,89.48999786376953
1619446414.225709,118,89.26000213623047
1619446479.4314427,119,88.72000122070312
1619446546.0744476,120,90.0999984741211
1619446613.0453947,121,89.26000213623047
1619446680.3132126,122,90.12000274658203
1619446749.0026245,123,90.30999755859375
1619446818.1918814,124,91.41999816894531
1619446887.9592528,125,90.33999633789062
1619446955.8519483,126,89.18000030517578
1619447023.1353886,127,90.6500015258789
1619447089.6064441,128,89.66000366210938
1619447155.2183464,129,89.80000305175781
1619447219.002488,130,90.72000122070312
1619447283.1303065,131,90.05000305175781
1619447348.0704665,132,90.70999908447266
1619447413.5730584,133,91.30999755859375
1619447480.2003396,134,90.44999694824219
1619447548.2961705,135,90.95999908447266
1619447615.9701593,136,91.05000305175781
1619447684.8157854,137,90.41000366210938
1619447753.395842,138,91.31999969482422
1619447822.3039632,139,90.56999969482422
1619447891.1495907,140,90.22000122070312
1619447958.4330354,141,90.5
1619448025.7633393,142,91.56999969482422
1619448092.2031991,143,90.94999694824219
1619448156.7969828,144,91.13999938964844
1619448221.1250832,145,90.79000091552734
1619448285.7845824,146,91.48999786376953
1619448349.568722,147,91.13999938964844
1619448415.1962447,148,91.75
1619448480.6675482,149,91.36000061035156
1619448547.169946,150,92.05000305175781
1619448614.5626907,151,90.43000030517578
1619448682.5023017,152,91.02999877929688
1619448750.6292775,153,92.13999938964844
1619448818.1001835,154,91.91999816894531
1619448885.243025,155,92.58000183105469
1619448951.167363,156,92.30999755859375
1619449017.857172,157,92.22000122070312
1619449084.3595202,158,92.13999938964844
1619449150.5962968,159,92.48999786376953
1619449216.426905,160,92.33999633789062
1619449282.3044267,161,91.91999816894531
1619449347.6819963,162,92.83000183105469
1619449413.7625055,163,91.73999786376953
1619449480.7647533,164,91.75
1619449548.9074495,165,92.41000366210938
1619449615.0035784,166,92.98999786376953
1619449681.7871673,167,92.66999816894531
1619449749.351806,168,92.7300033569336
1619449816.4946504,169,93.01000213623047
1619449884.2154546,170,92.97000122070312
1619449951.2177052,171,92.2699966430664
1619450018.0168662,172,93.0199966430664
1619450084.5661285,173,92.98999786376953
1619450151.880816,174,93.2699966430664
1619450219.2111235,175,93.02999877929688
1619450286.0571496,176,93.16999816894531
1619450353.199994,177,93.33000183105469
1619450418.7962742,178,93.29000091552734
1619450484.7362375,179,93.25
1619450551.2698302,180,93.44000244140625
1619450617.2566533,181,93.4000015258789
1619450681.9468668,182,93.44000244140625
1619450746.7464263,183,93.08000183105469
1619450811.186684,184,93.45999908447266
1619450875.7050576,185,93.13999938964844
1619450939.6610332,186,93.20999908447266
1619451002.6640792,187,93.37000274658203
1619451065.8702104,188,93.38999938964844
1619451128.9513688,189,93.41000366210938
1619451192.204363,190,93.4800033569336
1619451255.8322864,191,93.38999938964844
1619451319.5070727,192,93.48999786376953
1619451383.7442472,193,93.62000274658203
1619451448.3563502,194,93.44000244140625
1619451513.5933259,195,93.41999816894531
1619451578.9396524,196,93.55000305175781
1619451644.5203106,197,93.58000183105469
1619451709.7260396,198,93.58000183105469
1619451775.1348577,199,93.61000061035156
