Wall time,Step,Value
1619437895.0149486,0,48.029998779296875
1619437961.564163,1,57.9900016784668
1619438028.7851167,2,64.5199966430664
1619438096.2404008,3,72.73999786376953
1619438163.7894137,4,78.41000366210938
1619438231.478975,5,66.55000305175781
1619438299.4185843,6,81.58000183105469
1619438367.4987054,7,81.23999786376953
1619438435.2195973,8,82.38999938964844
1619438504.39324,9,83.94000244140625
1619438574.0356326,10,83.31999969482422
1619438643.6936164,11,84.30999755859375
1619438713.2422152,12,84.06999969482422
1619438782.5096362,13,85.44999694824219
1619438851.9488978,14,81.9000015258789
1619438921.8880117,15,85.80999755859375
1619438992.0146837,16,85.38999938964844
1619439062.4849875,17,82.66999816894531
1619439133.0802696,18,88.4000015258789
1619439203.9723637,19,85.69000244140625
1619439274.8644614,20,87.23999786376953
1619439345.2566614,21,88.52999877929688
1619439416.9767163,22,85.7699966430664
1619439487.7750854,23,87.86000061035156
1619439559.327038,24,88.87000274658203
1619439632.3847468,25,86.73999786376953
1619439703.366864,26,82.48999786376953
1619439774.4271276,27,85.08000183105469
1619439845.8586133,28,87.0199966430664
1619439917.2473862,29,88.41000366210938
1619439989.4475868,30,89.19999694824219
1619440062.43199,31,87.58999633789062
1619440134.4426587,32,87.97000122070312
1619440206.8743196,33,90.02999877929688
1619440279.8714213,34,82.41999816894531
1619440353.3062718,35,90.26000213623047
1619440427.053375,36,88.83999633789062
1619440500.3439798,37,88.43000030517578
1619440573.7319534,38,90.29000091552734
1619440645.8388247,39,90.30000305175781
1619440717.0553472,40,89.08000183105469
1619440788.2094073,41,88.44999694824219
1619440858.1449823,42,89.76000213623047
1619440929.0456007,43,88.05000305175781
1619441000.1839113,44,90.0999984741211
1619441071.8220584,45,91.19999694824219
1619441144.007393,46,91.45999908447266
1619441216.879635,47,91.19999694824219
1619441289.4672081,48,91.16999816894531
1619441362.3710506,49,89.37999725341797
1619441434.6189182,50,90.69999694824219
1619441506.8035567,51,91.02999877929688
1619441579.06724,52,90.27999877929688
1619441650.5137503,53,91.2300033569336
1619441721.1837258,54,90.18000030517578
1619441792.087568,55,91.55999755859375
1619441862.9294066,56,91.70999908447266
1619441933.5989468,57,91.26000213623047
1619442004.1713152,58,90.91999816894531
1619442074.575573,59,90.20999908447266
1619442145.1983576,60,89.77999877929688
1619442216.2274804,61,88.1500015258789
1619442287.8345382,62,91.66999816894531
1619442358.9418068,63,91.48999786376953
1619442429.9516242,64,92.2300033569336
1619442500.3245814,65,91.4000015258789
1619442571.0257645,66,91.0999984741211
1619442640.711081,67,90.80000305175781
1619442710.9281902,68,90.86000061035156
1619442780.5663962,69,91.3499984741211
1619442850.6390145,70,91.7300033569336
1619442920.5278387,71,90.70999908447266
1619442990.0884116,72,90.69999694824219
1619443059.7893322,73,90.98999786376953
1619443129.0218363,74,91.73999786376953
1619443197.6294527,75,91.86000061035156
1619443266.3585224,76,92.04000091552734
1619443335.2785892,77,89.77999877929688
1619443404.4959857,78,91.7300033569336
1619443473.9063528,79,92.30999755859375
1619443543.4845297,80,92.04000091552734
1619443612.1288493,81,92.43000030517578
1619443680.8182595,82,91.51000213623047
1619443749.4608052,83,92.0
1619443818.509519,84,91.83999633789062
1619443888.6673892,85,91.08999633789062
1619443959.387692,86,91.37000274658203
1619444030.076704,87,89.91999816894531
1619444099.8440278,88,91.83999633789062
1619444170.0800078,89,92.31999969482422
1619444240.5034466,90,92.51000213623047
1619444310.38012,91,91.66999816894531
1619444379.6944075,92,92.41000366210938
1619444450.3521705,93,90.58999633789062
1619444520.166359,94,92.16000366210938
1619444589.9961762,95,92.7699966430664
