Wall time,Step,Value
1619362800.7347214,0,40.900001525878906
1619362854.076198,1,48.04999923706055
1619362911.6495383,2,61.150001525878906
1619363029.6992824,3,60.22999954223633
1619363091.181351,4,69.62000274658203
1619363147.273169,5,72.73999786376953
1619363202.3445382,6,71.29000091552734
1619363260.7381685,7,79.69000244140625
1619363322.2799745,8,78.63999938964844
1619363378.957215,9,81.05000305175781
1619363996.7936609,10,81.58000183105469
1619364851.66945,11,78.44999694824219
1619365461.4523346,12,79.97000122070312
1619366014.858718,13,80.12999725341797
1619366668.8367827,14,83.41000366210938
1619367353.6099505,15,83.51000213623047
1619368076.1711566,16,84.87000274658203
1619368824.7745423,17,85.0999984741211
1619369346.56099,18,83.9000015258789
1619369836.7600482,19,84.62000274658203
1619370371.434549,20,84.2699966430664
1619370883.0824025,21,85.25
1619371522.8140497,22,84.98999786376953
1619372192.055437,23,84.77999877929688
1619372711.4986043,24,85.77999877929688
1619373259.3267276,25,85.04000091552734
1619373824.608656,26,87.8499984741211
1619374378.04509,27,86.0999984741211
1619374936.0743027,28,86.58000183105469
1619375537.4542396,29,87.44999694824219
1619376330.124108,30,85.45999908447266
1619377031.8277118,31,81.94000244140625
1619377751.9339907,32,85.47000122070312
1619378287.7801328,33,85.41000366210938
1619378882.5988786,34,83.70999908447266
1619379439.6595318,35,83.94000244140625
1619380000.4694462,36,86.37000274658203
1619380558.4205499,37,86.68000030517578
1619381296.648161,38,87.01000213623047
1619381905.589089,39,86.56999969482422
1619382661.6412609,40,87.0999984741211
1619383337.5062766,41,87.7699966430664
1619384004.7324915,42,86.5
1619384685.221633,43,84.81999969482422
1619385379.7860844,44,87.0999984741211
1619386068.8360176,45,83.2300033569336
1619386774.476386,46,87.87000274658203
1619387556.7420828,47,86.16999816894531
1619388200.3635833,48,82.06999969482422
1619388842.3447855,49,85.23999786376953
1619389613.2377484,50,88.29000091552734
1619390371.1176908,51,86.95999908447266
1619391243.0217361,52,87.97000122070312
1619391766.4172428,53,85.86000061035156
1619392383.4971745,54,88.58000183105469
1619392949.6341379,55,89.06999969482422
1619393574.7905746,56,87.83999633789062
1619394218.1621258,57,87.75
1619394923.2088633,58,88.41000366210938
1619395589.7007945,59,88.94999694824219
1619396272.5957196,60,84.06999969482422
1619396915.358,61,86.01000213623047
1619397565.6187534,62,84.16000366210938
1619398281.1790633,63,85.01000213623047
1619398982.13287,64,88.1500015258789
1619399652.374012,65,87.33000183105469
1619400279.0926816,66,89.91000366210938
1619401131.2662919,67,88.5999984741211
1619401792.7592232,68,88.87000274658203
1619402385.1339877,69,89.76000213623047
1619403039.7689152,70,89.36000061035156
1619403815.2703855,71,89.41000366210938
1619404487.245604,72,88.88999938964844
1619405103.5756764,73,87.9800033569336
1619405837.8446898,74,88.18000030517578
1619406572.0106091,75,88.7300033569336
1619407292.4605274,76,88.69999694824219
1619407990.5555236,77,88.9800033569336
1619408682.8548093,78,88.16999816894531
1619409456.0754356,79,89.37999725341797
1619410211.299655,80,86.27999877929688
1619410893.1947625,81,89.38999938964844
1619411606.9116457,82,89.19000244140625
1619412262.8744307,83,87.63999938964844
1619412598.2137244,84,90.25
1619412724.0167341,85,89.20999908447266
1619412791.4563937,86,88.0
1619412882.0320616,87,91.18000030517578
1619412945.1288397,88,88.41000366210938
1619413017.3019304,89,89.02999877929688
1619413075.305928,90,90.1500015258789
1619413130.5918243,91,87.56999969482422
1619413187.0180466,92,88.91000366210938
1619413243.0536869,93,90.80999755859375
1619413299.308078,94,90.31999969482422
1619413355.671828,95,89.19000244140625
1619413413.5509446,96,89.87999725341797
1619413466.3997655,97,91.30999755859375
1619413522.7322328,98,89.5
1619413581.470547,99,89.44000244140625
1619413638.709116,100,90.68000030517578
1619413692.745205,101,89.97000122070312
1619413749.640044,102,89.08999633789062
1619413807.6129084,103,90.2300033569336
1619413865.4450479,104,90.08000183105469
1619413921.7931764,105,90.83000183105469
1619413977.110305,106,91.58999633789062
1619414032.6148474,107,91.83999633789062
1619414088.5723758,108,90.79000091552734
1619414148.388607,109,90.30000305175781
1619414204.9241955,110,90.25
1619414258.1479437,111,90.91000366210938
1619414314.0586567,112,88.77999877929688
1619414374.6090903,113,90.3499984741211
1619414430.160478,114,90.6500015258789
1619414483.1655197,115,91.12000274658203
1619414538.9043922,116,91.81999969482422
1619414598.8767972,117,91.11000061035156
1619414655.2717857,118,91.0999984741211
1619414710.682549,119,91.19000244140625
1619414765.3279345,120,92.44999694824219
1619414822.144671,121,91.19000244140625
1619414878.977121,122,92.04000091552734
1619414937.4498255,123,91.9800033569336
1619414991.7046132,124,91.87999725341797
1619415046.1936867,125,92.80000305175781
1619415104.0728042,126,92.19000244140625
1619415163.7796335,127,91.91999816894531
1619415216.56597,128,92.7699966430664
1619415270.3208644,129,92.0999984741211
1619415329.3402839,130,91.44999694824219
1619415388.1097975,131,91.5
1619415441.3336034,132,92.29000091552734
1619415497.3536663,133,91.94999694824219
1619415555.8107402,134,93.04000091552734
1619415614.4709005,135,91.80000305175781
1619415669.4755466,136,92.44000244140625
1619415724.698897,137,93.05999755859375
1619415780.2190607,138,93.36000061035156
1619415838.113707,139,92.83000183105469
1619415895.8678474,140,92.29000091552734
1619415950.622546,141,93.16999816894531
1619416004.4536052,142,93.08000183105469
1619416059.8750942,143,93.16999816894531
1619416121.1719577,144,92.58999633789062
1619416175.9219942,145,93.66000366210938
1619416229.3596423,146,93.5
1619416287.1565216,147,93.81999969482422
1619416348.6095057,148,94.11000061035156
1619416404.031408,149,93.5199966430664
1619416458.9376476,150,93.91000366210938
1619416515.625086,151,94.31999969482422
1619416574.8440099,152,94.12000274658203
1619416630.203511,153,94.41000366210938
1619416685.9220207,154,94.55000305175781
1619416739.6407893,155,94.2699966430664
1619416797.6256022,156,94.51000213623047
1619416855.1411319,157,94.91000366210938
1619416911.3597517,158,94.80000305175781
1619416964.2814033,159,94.83999633789062
1619417021.2660398,160,95.05999755859375
1619417081.2344885,161,94.93000030517578
